# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Jan 31 08:06:14 2017
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [sexagesimal]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [sexagesimal]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_optmag:      Optical Magnitude [mag]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_masse:       Planet Mass [Earth mass]
# COLUMN pl_rade:        Planet Radius [Earth radii]
# COLUMN st_sp:          Spectral Type
# COLUMN st_spstr:       Spectral Type
#
rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_radj,pl_dens,ra_str,ra,dec_str,dec,st_dist,st_optmag,st_teff,st_mass,st_rad,pl_eqt,pl_masse,pl_rade,st_sp,st_spstr
1,11 Com,b,Radial Velocity,1,326.03000000,1.290000,0.231000,,,,12h20m43.03s,185.179276,+17d47m34.3s,17.792868,110.62,4.740,4742.00,2.70,19.00,,,,5.00,K0 III
2,11 UMi,b,Radial Velocity,1,516.22000000,1.540000,0.080000,,,,15h17m05.89s,229.274536,+71d49m26.0s,71.823898,119.47,5.016,4340.00,1.80,24.08,,,,5.40,K4 III
3,14 And,b,Radial Velocity,1,185.84000000,0.830000,0.000000,,,,23h31m17.42s,352.822571,+39d14m10.3s,39.236198,76.39,,4813.00,2.20,11.00,,,,4.80,G8 III
4,14 Her,b,Radial Velocity,1,1773.40000000,2.770000,0.369000,,,,16h10m24.31s,242.601303,+43d49m03.5s,43.817646,18.15,6.610,5311.00,0.90,,,,,5.00,K0 V
5,16 Cyg B,b,Radial Velocity,1,798.50000000,1.681000,0.681000,,,,19h41m51.97s,295.466553,+50d31m03.1s,50.517525,21.41,6.250,5674.00,0.99,,,,,4.25,G2.5 V
6,18 Del,b,Radial Velocity,1,993.30000000,2.600000,0.080000,,,,20h58m25.94s,314.608063,+10d50m21.4s,10.839286,73.10,,4979.00,2.30,8.50,,,,4.60,G6 III
7,1RXS J160929.1-210524,b,Imaging,1,,330.000000,,,,,16h09m30.30s,242.376268,-21d04m58.9s,-21.083036,145.00,,4060.00,0.85,,1700,3000.00000,,5.70,K7 V
8,24 Sex,b,Radial Velocity,2,452.80000000,1.333000,0.090000,,,,10h23m28.37s,155.868210,-00d54m08.1s,-0.902244,74.79,6.441,5098.00,1.54,4.90,,,,5.00,K0 IV
9,24 Sex,c,Radial Velocity,2,883.00000000,2.080000,0.290000,,,,10h23m28.37s,155.868210,-00d54m08.1s,-0.902244,74.79,6.441,5098.00,1.54,4.90,,,,5.00,K0 IV
10,2MASS J01225093-2439505,b,Imaging,1,,52.000000,,,,,01h22m50.94s,20.712243,-24d39m50.6s,-24.664049,36.00,14.240,3530.00,0.40,,,7786.50000,,6.35,M3.5 V
